QN,QuestionText,CN,CorrectAnswer
1,"What is the capital of France?",1001,Paris
2,"Who painted the Mona Lisa?",1002,Leonardo da Vinci
3,"What is the chemical symbol for gold?",1003,Au
4,"What is the largest planet in our solar system?",1004,Jupiter
5,"In what year did World War II end?",1005,1945
6,"What is the name of the longest river in the world?",1006,Amazon
7,"What is the name of the first book in the Harry Potter series?",1007,The Philosopher's Stone
8,"Who was the first person to walk on the moon?",1008,Neil Armstrong
9,"What is the name of the hottest planet in our solar system?",1009,Venus
10,"What is the name of the tallest mountain in the world?",1010,Mount Everest
